BLMQI.01R1.B2I30_MQXA	21.37
BLMEL.01R1.B2I10_BPMSW.1R1	21.38
BLMQI.01R1.B1E10_MQXA	23.44
BLMQI.01R1.B2I20_MQXA	25.63
BLMQI.01R1.B1E20_MQXA	26.65
BLMQI.02R1.B2I30_MQXB	29.75
BLMQI.01R1.B1E30_MQXA	32.3
BLMQI.02R1.B2I23_MQXB	34.12
BLMQI.02R1.B1E21_MQXB	35.3
BLMQI.02R1.B2I22_MQXB	37.41
BLMQI.02R1.B1E22_MQXB	38.57
BLMQI.02R1.B2I21_MQXB	40.81
BLMQI.02R1.B1E23_MQXB	41.81
BLMQI.03R1.B2I30_MQXA	43.62
BLMQI.02R1.B1E30_MQXB	46.69
BLMQI.03R1.B2I20_MQXA	49.65
BLMQI.03R1.B1E20_MQXA	50.65
BLMQI.03R1.B2I10_MQXA	53.63
BLMQI.03R1.B1E30_MQXA	59.01
BLMTI.04R1.B1E10_TANAR.4R1	138.94
BLMTS.04R1.B1E10_TANAR.4R1	138.94
BLMTS.04R1.B2I10_TCTPV.4R1.B2	144.62
BLMTI.04R1.B2I10_TCTPV.4R1.B2	144.62
BLMTS.04R1.B2I10_TCTPH.4R1.B2	146.78
BLMTI.04R1.B2I10_TCTPH.4R1.B2	146.78
BLMTI.04R1.B1E10_TCL.4R1.B1	150.96
BLMTS.04R1.B1E10_TCL.4R1.B1	150.96
BLMQI.04R1.B2I30_MQY	162.1
BLMQI.04R1.B1E10_MQY	164.6
BLMQI.04R1.B2I20_MQY	167.92
BLMQI.04R1.B1E20_MQY	169.12
BLMQI.04R1.B2I10_MQY	170.14
BLMQI.04R1.B1E30_MQY	174.77
BLMTS.05R1.B1E10_TCL.5R1.B1	185.6
BLMTI.05R1.B1E10_TCL.5R1.B1	185.6
BLMQI.05R1.B2I30_MQML	192.17
BLMQI.05R1.B1E10_MQML	193.32
BLMQI.05R1.B2I20_MQML	195.99
BLMQI.05R1.B1E20_MQML	197.19
BLMQI.05R1.B2I10_MQML	198.06
BLMQI.05R1.B1E30_MQML	202.36
BLMTS.06R1.B1E10_TCL.6R1.B1	220.75
BLMTI.06R1.B1E10_TCL.6R1.B1	220.75
BLMQI.06R1.B2I30_MQML	222.87
BLMQI.06R1.B1E10_MQML	225.22
BLMQI.06R1.B2I20_MQML	227.89
BLMQI.06R1.B1E20_MQML	229.09
BLMQI.06R1.B2I10_MQML	229.96
BLMQI.06R1.B1E30_MQML	233.31
BLMEI.07R1.B1E10_XRP	243.0
BLMEI.07R1.B1E20_XRP-RUN1	257.75
BLMQI.07R1.B2I30_MQM_XRP	257.78
BLMQI.07R1.B1E10_MQM_XRP	260.72
BLMQI.07R1.B2I20_MQM	263.44
BLMQI.07R1.B2I10_MQM	267.65
BLMQI.07R1.B1E30_MQM	270.15
BLMEI.08R1.B1E21_MBA	275.16
BLMEI.08R1.B1E22_MBA	280.36
BLMBI.08R1.B0T10_MBA-MBB	284.56
BLMEI.08R1.B1E30_MBA	285.82
BLMEI.08R1.B1E21_MBB	289.47
BLMEI.08R1.B1E22_MBB	293.12
BLMEI.08R1.B1E23_MBB	296.77
BLMQI.08R1.B2I30_MQML	299.01
BLMQI.08R1.B1E10_MQML	302.1
BLMQI.08R1.B2I20_MQML	303.39
BLMQI.08R1.B2I10_MQML	306.76
BLMQI.08R1.B1E30_MQML	309.26
BLMBI.09R1.B0T10_MBA-MBB	323.63
BLMDS.3243.B1E10_MKBH	324.25
BLMDS.3243.B2I10_MKBH	324.25
BLMDI.3243.B1E10_MKBH	324.25
BLMDI.3243.B2I10_MKBH	324.25
BLMDI.3290.B2I10_MKBV	329.01
BLMDS.3290.B2I10_MKBV	329.01
BLMDI.3290.B1E10_MKBV	329.01
BLMDS.3290.B1E10_MKBV	329.01
BLMDI.3325.B2I20_MKBV	332.52
BLMDS.3325.B2I20_MKBV	332.52
BLMDS.3325.B1E20_MKBV	332.52
BLMDI.3325.B1E20_MKBV	332.52
BLMQI.09R1.B2I30_MQM	338.08
BLMQI.09R1.B1E10_MQM	341.17
BLMQI.09R1.B1E20_MQM	344.37
BLMQI.09R1.B2I10_MQM	347.22
BLMQI.09R1.B1E30_MQM	349.72
BLMEI.10R1.B1E21_MBA	354.68
